text,label,cand_label_top1,cand_label_top2,cand_label_top3
The topic of this snippet is class_432,class_432,class_432,class_197,class_388
The topic of this snippet is class_20,class_20,class_20,class_133,class_495
The sentence is related to class_207,class_207,class_207,class_471,class_402
I think this text is about class_495,class_495,class_495,class_244,class_183
I think this text is about class_258,class_258,class_258,class_71,class_144
The sentence is related to class_386,class_386,class_386,class_48,class_316
I think this text is about class_465,class_465,class_465,class_272,class_361
This text is about class_158,class_158,class_158,class_50,class_374
The sentence is related to class_460,class_460,class_460,class_435,class_350
The sentence is related to class_241,class_241,class_241,class_287,class_51
I think this text is about class_222,class_222,class_222,class_161,class_313
The topic of this snippet is class_494,class_494,class_494,class_282,class_244
This text is about class_443,class_443,class_443,class_266,class_133
This text is about class_412,class_412,class_412,class_471,class_280
The topic of this snippet is class_47,class_47,class_47,class_369,class_431
This text is about class_363,class_363,class_363,class_423,class_402
The sentence is related to class_313,class_313,class_313,class_252,class_424
This text is about class_124,class_124,class_124,class_374,class_167
I think this text is about class_97,class_97,class_97,class_470,class_291
I think this text is about class_122,class_122,class_122,class_412,class_496
This text is about class_411,class_411,class_411,class_278,class_229
The topic of this snippet is class_41,class_41,class_41,class_164,class_449
The sentence is related to class_55,class_55,class_55,class_155,class_283
The sentence is related to class_361,class_361,class_361,class_63,class_280
I think this text is about class_417,class_417,class_417,class_473,class_276
The sentence is related to class_493,class_493,class_493,class_409,class_308
The topic of this snippet is class_227,class_227,class_227,class_46,class_306
The sentence is related to class_162,class_162,class_162,class_295,class_123
I think this text is about class_94,class_94,class_94,class_97,class_421
The sentence is related to class_16,class_16,class_16,class_314,class_337
I think this text is about class_243,class_243,class_243,class_35,class_45
This text is about class_448,class_448,class_448,class_76,class_473
The topic of this snippet is class_431,class_431,class_431,class_41,class_460
The sentence is related to class_428,class_428,class_428,class_361,class_268
I think this text is about class_267,class_267,class_267,class_416,class_120
The topic of this snippet is class_458,class_458,class_458,class_347,class_301
The topic of this snippet is class_296,class_296,class_296,class_140,class_230
The sentence is related to class_338,class_338,class_338,class_328,class_359
This text is about class_42,class_42,class_42,class_167,class_314
The sentence is related to class_249,class_249,class_249,class_301,class_323
This text is about class_432,class_432,class_432,class_97,class_124
I think this text is about class_374,class_374,class_374,class_138,class_59
The sentence is related to class_190,class_190,class_190,class_407,class_87
This text is about class_218,class_218,class_218,class_418,class_31
I think this text is about class_400,class_400,class_400,class_74,class_438
This text is about class_23,class_23,class_23,class_419,class_294
I think this text is about class_13,class_13,class_13,class_64,class_326
This text is about class_310,class_310,class_310,class_426,class_294
This text is about class_200,class_200,class_200,class_46,class_189
I think this text is about class_18,class_18,class_18,class_311,class_11
This text is about class_492,class_492,class_492,class_497,class_94
This text is about class_245,class_245,class_245,class_107,class_373
The topic of this snippet is class_479,class_479,class_479,class_347,class_11
The sentence is related to class_317,class_317,class_317,class_51,class_428
The sentence is related to class_35,class_35,class_35,class_114,class_37
This text is about class_179,class_179,class_179,class_224,class_92
This text is about class_257,class_257,class_257,class_239,class_20
The sentence is related to class_358,class_358,class_358,class_200,class_102
The topic of this snippet is class_183,class_183,class_183,class_464,class_375
I think this text is about class_429,class_429,class_429,class_462,class_471
This text is about class_357,class_357,class_357,class_344,class_104
I think this text is about class_403,class_403,class_403,class_346,class_81
This text is about class_175,class_175,class_175,class_272,class_128
I think this text is about class_305,class_305,class_305,class_472,class_226
The topic of this snippet is class_6,class_6,class_6,class_242,class_349
The sentence is related to class_460,class_460,class_460,class_291,class_447
The sentence is related to class_332,class_332,class_332,class_182,class_198
This text is about class_78,class_78,class_78,class_288,class_354
The sentence is related to class_234,class_234,class_234,class_380,class_40
The sentence is related to class_378,class_378,class_378,class_23,class_278
The topic of this snippet is class_69,class_69,class_69,class_123,class_391
The sentence is related to class_180,class_180,class_180,class_313,class_147
I think this text is about class_302,class_302,class_302,class_485,class_457
The topic of this snippet is class_366,class_366,class_366,class_158,class_198
This text is about class_424,class_424,class_424,class_333,class_41
The sentence is related to class_304,class_304,class_304,class_98,class_358
The topic of this snippet is class_81,class_81,class_81,class_123,class_115
The topic of this snippet is class_193,class_193,class_193,class_364,class_449
The topic of this snippet is class_16,class_16,class_16,class_206,class_447
This text is about class_395,class_395,class_395,class_339,class_363
The sentence is related to class_84,class_84,class_84,class_229,class_32
The topic of this snippet is class_359,class_359,class_359,class_80,class_228
This text is about class_464,class_464,class_464,class_287,class_309
The sentence is related to class_452,class_452,class_452,class_19,class_253
This text is about class_159,class_159,class_159,class_429,class_240
The topic of this snippet is class_414,class_414,class_414,class_422,class_449
This text is about class_96,class_96,class_96,class_281,class_494
This text is about class_428,class_428,class_428,class_371,class_66
The topic of this snippet is class_205,class_205,class_205,class_487,class_348
This text is about class_161,class_161,class_161,class_1,class_109
This text is about class_367,class_367,class_367,class_387,class_1
I think this text is about class_97,class_97,class_97,class_60,class_312
I think this text is about class_447,class_447,class_447,class_154,class_143
The topic of this snippet is class_51,class_51,class_51,class_244,class_438
The sentence is related to class_321,class_321,class_321,class_41,class_11
This text is about class_467,class_467,class_467,class_231,class_409
The sentence is related to class_441,class_441,class_441,class_131,class_68
The sentence is related to class_58,class_58,class_58,class_447,class_80
This text is about class_435,class_435,class_435,class_9,class_21
The sentence is related to class_105,class_105,class_105,class_349,class_133
This text is about class_484,class_484,class_484,class_187,class_480
The topic of this snippet is class_433,class_433,class_433,class_383,class_493
The topic of this snippet is class_364,class_364,class_364,class_329,class_463
I think this text is about class_327,class_327,class_327,class_222,class_190
The sentence is related to class_106,class_106,class_106,class_193,class_301
The sentence is related to class_4,class_4,class_4,class_71,class_78
The sentence is related to class_170,class_170,class_170,class_173,class_405
This text is about class_367,class_367,class_367,class_47,class_173
I think this text is about class_21,class_21,class_21,class_139,class_84
The topic of this snippet is class_298,class_298,class_298,class_148,class_184
This text is about class_280,class_280,class_280,class_66,class_150
This text is about class_244,class_244,class_244,class_375,class_122
This text is about class_157,class_157,class_157,class_91,class_439
The sentence is related to class_154,class_154,class_154,class_207,class_428
This text is about class_153,class_153,class_153,class_213,class_55
The topic of this snippet is class_287,class_287,class_287,class_466,class_246
The sentence is related to class_172,class_172,class_172,class_431,class_409
The topic of this snippet is class_63,class_63,class_63,class_246,class_59
The sentence is related to class_218,class_218,class_218,class_19,class_154
I think this text is about class_376,class_376,class_376,class_351,class_458
The topic of this snippet is class_470,class_470,class_470,class_85,class_320
This text is about class_412,class_412,class_412,class_499,class_327
